mode,image,noise,noise_level,method,mse,psnr,ssim_rgb,ssim_channels_mean
synthetic,04_gauss_22.5,gaussian,22.5,dct,111.86295064290364,27.6439409020761,0.6591673398099499,0.6591673398099499
synthetic,04_saltpepper_0.03,salt_pepper,0.03,dft,122.91560702853732,27.234733305767516,0.6531785037692177,0.6531785037692177
synthetic,04_saltpepper_0.03,salt_pepper,0.03,dct,118.64828660753038,27.38818889888659,0.6518807913480823,0.6518807913480823
synthetic,04_saltpepper_0.045,salt_pepper,0.045,dft,144.14415232340494,26.54283332355202,0.6055363891236594,0.6055363891236594
synthetic,04_saltpepper_0.045,salt_pepper,0.045,dct,139.99076504177518,26.669809739302725,0.6048567970336443,0.6048567970336443
synthetic,05_gauss_15,gaussian,15.0,dft,388.74186452229816,22.234190475276637,0.6279126910908741,0.6279126910908741
synthetic,05_gauss_15,gaussian,15.0,dct,386.8572786119249,22.255295884677324,0.6256045161633091,0.6256045161633091
synthetic,05_gauss_22.5,gaussian,22.5,dft,405.9465103149414,22.046115484864433,0.6058562134552121,0.6058562134552121
synthetic,05_gauss_22.5,gaussian,22.5,dct,404.20580037434894,22.064778194954084,0.6037687748111885,0.6037687748111885
synthetic,05_saltpepper_0.03,salt_pepper,0.03,dft,417.2079917060004,21.9272774203246,0.5954773770658468,0.5954773770658468
synthetic,05_saltpepper_0.03,salt_pepper,0.03,dct,415.4741380479601,21.945363653654077,0.5939880367267177,0.5939880367267177
synthetic,05_saltpepper_0.045,salt_pepper,0.045,dft,442.749028523763,21.669227439300936,0.572137534179933,0.572137534179933
synthetic,05_saltpepper_0.045,salt_pepper,0.045,dct,441.21624671088324,21.68428864971524,0.5703301563325249,0.5703301563325249
synthetic,06_gauss_15,gaussian,15.0,dft,263.7733620537652,23.918494259774654,0.5762371898849077,0.5762371898849077
synthetic,06_gauss_15,gaussian,15.0,dct,262.18010796440973,23.94480622899848,0.5741281656908575,0.5741281656908575
synthetic,06_gauss_22.5,gaussian,22.5,dft,283.0053261650933,23.612857518371072,0.5387815041958309,0.5387815041958309
synthetic,06_gauss_22.5,gaussian,22.5,dct,281.49525366889105,23.63609284319223,0.5370818407248367,0.5370818407248367
synthetic,06_saltpepper_0.03,salt_pepper,0.03,dft,288.05006917317706,23.53612377012619,0.5210141468351112,0.5210141468351112
synthetic,06_saltpepper_0.03,salt_pepper,0.03,dct,286.41901143391925,23.560785194149897,0.5198542489894972,0.5198542489894972
synthetic,06_saltpepper_0.045,salt_pepper,0.045,dft,309.9378077189128,23.218058040472137,0.4877459828780672,0.4877459828780672
synthetic,06_saltpepper_0.045,salt_pepper,0.045,dct,308.4699978298611,23.23867430458332,0.4863940707434882,0.4863940707434882
synthetic,07_gauss_15,gaussian,15.0,dft,111.33618418375652,27.664440281823914,0.7836671503676156,0.7836671503676156
synthetic,07_gauss_15,gaussian,15.0,dct,108.54003397623698,27.774904076774295,0.7814122454602792,0.7814122454602792
synthetic,07_gauss_22.5,gaussian,22.5,dft,128.7096735636393,27.03469172025459,0.7281743356964626,0.7281743356964626
synthetic,07_gauss_22.5,gaussian,22.5,dct,125.9468010796441,27.12893219530813,0.7260842439600945,0.7260842439600945
synthetic,07_saltpepper_0.03,salt_pepper,0.03,dft,133.78620402018228,26.86669029400367,0.7250114071909213,0.7250114071909213
synthetic,07_saltpepper_0.03,salt_pepper,0.03,dct,131.1677763197157,26.952532048328383,0.7226808055751025,0.7226808055751025
synthetic,07_saltpepper_0.045,salt_pepper,0.045,dft,154.15548197428384,26.251213874404865,0.6822370872834943,0.6822370872834943
synthetic,07_saltpepper_0.045,salt_pepper,0.045,dct,151.63358306884766,26.32284963488329,0.6799710072345638,0.6799710072345638
synthetic,08_gauss_15,gaussian,15.0,dft,665.4945237901476,19.899358747574503,0.5489748244136815,0.5489748244136815
synthetic,08_gauss_15,gaussian,15.0,dct,666.2786390516493,19.894244708936434,0.5456183444248911,0.5456183444248911
synthetic,08_gauss_22.5,gaussian,22.5,dft,683.9314812554253,19.780677661700512,0.5308901318139919,0.5308901318139919
synthetic,08_gauss_22.5,gaussian,22.5,dct,684.8179380628798,19.775052331770652,0.5278807980633734,0.5278807980633734
synthetic,08_saltpepper_0.03,salt_pepper,0.03,dft,692.0895614624023,19.72918061885015,0.5227396225804233,0.5227396225804233
synthetic,08_saltpepper_0.03,salt_pepper,0.03,dct,692.9657770792643,19.72368573864521,0.5197553286959479,0.5197553286959479
synthetic,08_saltpepper_0.045,salt_pepper,0.045,dft,712.7672398885092,19.601326303646307,0.5078356241340405,0.5078356241340405
synthetic,08_saltpepper_0.045,salt_pepper,0.045,dct,713.887080722385,19.594508383038352,0.5052294206893585,0.5052294206893585
synthetic,09_gauss_15,gaussian,15.0,dft,132.3195080227322,26.914564834070948,0.7121725193458701,0.7121725193458701
synthetic,09_gauss_15,gaussian,15.0,dct,129.63350507948132,27.003630970606714,0.7094810888599753,0.7094810888599753
synthetic,09_gauss_22.5,gaussian,22.5,dft,149.29887051052518,26.39023838694806,0.6490954371268409,0.6490954371268409
synthetic,09_gauss_22.5,gaussian,22.5,dct,146.70361328125,26.466395503049043,0.6465951060485263,0.6465951060485263
synthetic,09_saltpepper_0.03,salt_pepper,0.03,dft,152.44700707329645,26.29961458400104,0.648146820646439,0.648146820646439
synthetic,09_saltpepper_0.03,salt_pepper,0.03,dct,149.84976704915366,26.374242887236893,0.6456249405266208,0.6456249405266208
synthetic,09_saltpepper_0.045,salt_pepper,0.045,dft,169.72096676296658,25.83344863942164,0.6031022236980316,0.6031022236980316
synthetic,09_saltpepper_0.045,salt_pepper,0.045,dct,167.3800303141276,25.893767186904746,0.600977197530652,0.600977197530652
synthetic,10_gauss_15,gaussian,15.0,dft,125.62875535753038,27.13991303761643,0.7174169294133858,0.7174169294133858
synthetic,10_gauss_15,gaussian,15.0,dct,122.815183851454,27.238282981730734,0.7150678969689573,0.7150678969689573
synthetic,10_gauss_22.5,gaussian,22.5,dft,143.02228037516275,26.57676662631843,0.6579426223139876,0.6579426223139876
synthetic,10_gauss_22.5,gaussian,22.5,dct,140.32990095350476,26.659301421878865,0.6557763828523643,0.6557763828523643
synthetic,10_saltpepper_0.03,salt_pepper,0.03,dft,145.22197977701822,26.51048007772077,0.65789509037581,0.65789509037581
synthetic,10_saltpepper_0.03,salt_pepper,0.03,dct,142.54592556423611,26.59125552623049,0.6555112898259997,0.6555112898259997
synthetic,10_saltpepper_0.045,salt_pepper,0.045,dft,163.55054643419055,25.994283613952483,0.6118184782211682,0.6118184782211682
synthetic,10_saltpepper_0.045,salt_pepper,0.045,dct,161.01018608940973,26.06227008919985,0.6099916924369687,0.6099916924369687
synthetic,11_gauss_15,gaussian,15.0,dft,196.13108825683594,25.205339227926924,0.6284935978906572,0.6284935978906572
synthetic,11_gauss_15,gaussian,15.0,dct,193.49815707736545,25.26403527817591,0.6263133952398193,0.6263133952398193
synthetic,11_gauss_22.5,gaussian,22.5,dft,213.7122039794922,24.83251037722948,0.5842272667600096,0.5842272667600096
synthetic,11_gauss_22.5,gaussian,22.5,dct,211.1895997789171,24.884078337004585,0.5822696593259108,0.5822696593259108
synthetic,11_saltpepper_0.03,salt_pepper,0.03,dft,221.542844136556,24.676226340434834,0.5720454282040061,0.5720454282040061
synthetic,11_saltpepper_0.03,salt_pepper,0.03,dct,219.20066833496094,24.722384869052906,0.5696541260745503,0.5696541260745503
synthetic,11_saltpepper_0.045,salt_pepper,0.045,dft,240.5804155137804,24.31820090235156,0.5395147990531773,0.5395147990531773
synthetic,11_saltpepper_0.045,salt_pepper,0.045,dct,238.28976779513889,24.359749668030997,0.5381700245233353,0.5381700245233353
synthetic,12_gauss_15,gaussian,15.0,dft,106.26543511284723,27.866883360516468,0.6922696123686128,0.6922696123686128
synthetic,12_gauss_15,gaussian,15.0,dct,104.07408650716145,27.957377532393394,0.6895431676176148,0.6895431676176148
synthetic,12_gauss_22.5,gaussian,22.5,dft,124.10455322265625,27.192926454191458,0.6291088473870211,0.6291088473870211
synthetic,12_gauss_22.5,gaussian,22.5,dct,122.0059577094184,27.266993225115957,0.627323225783108,0.627323225783108
synthetic,12_saltpepper_0.03,salt_pepper,0.03,dft,129.94559817843967,26.993187882212766,0.6215651712313527,0.6215651712313527
synthetic,12_saltpepper_0.03,salt_pepper,0.03,dct,127.98082733154297,27.05935447530834,0.619147263714782,0.619147263714782
synthetic,12_saltpepper_0.045,salt_pepper,0.045,dft,151.7001961602105,26.320942185041073,0.5705292903433857,0.5705292903433857
synthetic,12_saltpepper_0.045,salt_pepper,0.045,dct,149.72689819335938,26.377805332196893,0.5686846424214299,0.5686846424214299
synthetic,13_gauss_15,gaussian,15.0,dft,543.1778784857856,20.781382863539054,0.4912801993934486,0.4912801993934486
synthetic,13_gauss_15,gaussian,15.0,dct,542.7163526746962,20.78507453293612,0.48919813192660316,0.48919813192660316
synthetic,13_gauss_22.5,gaussian,22.5,dft,560.8471959431967,20.64235807986245,0.47573601815489247,0.47573601815489247
synthetic,13_gauss_22.5,gaussian,22.5,dct,560.4451734754774,20.645472274724995,0.4737472378442055,0.4737472378442055
synthetic,13_saltpepper_0.03,salt_pepper,0.03,dft,568.4109742906359,20.584179066232867,0.4669829157967933,0.4669829157967933
synthetic,13_saltpepper_0.03,salt_pepper,0.03,dct,568.2293616400825,20.58556689966015,0.4647850712043555,0.4647850712043555
synthetic,13_saltpepper_0.045,salt_pepper,0.045,dft,590.8451699150933,20.4160667129131,0.45176525425895675,0.45176525425895675
synthetic,13_saltpepper_0.045,salt_pepper,0.045,dct,590.6805123223198,20.417277179777813,0.4497139445512766,0.4497139445512766
synthetic,14_gauss_15,gaussian,15.0,dft,216.52313571506076,24.775760528964824,0.6471735313303686,0.6471735313303686
synthetic,14_gauss_15,gaussian,15.0,dct,213.59150187174478,24.834963913673242,0.6455356700999904,0.6455356700999904
synthetic,14_gauss_22.5,gaussian,22.5,dft,233.6083518134223,24.44591995536946,0.6156251072085315,0.6156251072085315
synthetic,14_gauss_22.5,gaussian,22.5,dct,230.7643068101671,24.49911725163033,0.6140482079093771,0.6140482079093771
synthetic,14_saltpepper_0.03,salt_pepper,0.03,dft,244.13790130615234,24.25445153960525,0.6003649138132068,0.6003649138132068
synthetic,14_saltpepper_0.03,salt_pepper,0.03,dct,241.2956297132704,24.305309047220707,0.5988364764428881,0.5988364764428881
synthetic,14_saltpepper_0.045,salt_pepper,0.045,dft,265.8284640842014,23.88478878870504,0.5719949021867914,0.5719949021867914
synthetic,14_saltpepper_0.045,salt_pepper,0.045,dct,263.19773440890845,23.927982142920413,0.5704872673489296,0.5704872673489296
synthetic,15_gauss_15,gaussian,15.0,dft,128.4475589328342,27.043545056876837,0.7232518481909924,0.7232518481909924
synthetic,15_gauss_15,gaussian,15.0,dct,124.70177120632596,27.172077388274527,0.7212967063284693,0.7212967063284693
synthetic,15_gauss_22.5,gaussian,22.5,dft,147.7318352593316,26.436062678060836,0.6642937218191882,0.6642937218191882
synthetic,15_gauss_22.5,gaussian,22.5,dct,144.1637479994032,26.542242962069814,0.6625434903760511,0.6625434903760511
synthetic,15_saltpepper_0.03,salt_pepper,0.03,dft,161.62420908610025,26.045739482099798,0.6231532597399662,0.6231532597399662
synthetic,15_saltpepper_0.03,salt_pepper,0.03,dct,158.08373853895398,26.14193162827044,0.6216398335765638,0.6216398335765638
synthetic,15_saltpepper_0.045,salt_pepper,0.045,dft,192.32899559868707,25.290355972782777,0.563946360711979,0.563946360711979
synthetic,15_saltpepper_0.045,salt_pepper,0.045,dct,188.8642578125,25.36930584542285,0.5629407983476041,0.5629407983476041
synthetic,16_gauss_15,gaussian,15.0,dft,122.81420050726996,27.238317754520974,0.6520538696636466,0.6520538696636466
synthetic,16_gauss_15,gaussian,15.0,dct,119.69276767306857,27.350124515188977,0.6513045760955279,0.6513045760955279
synthetic,16_gauss_22.5,gaussian,22.5,dft,140.11750962999133,26.66587951060138,0.5948082247713864,0.5948082247713864
synthetic,16_gauss_22.5,gaussian,22.5,dct,137.07523600260416,26.76121358586399,0.5944439821298505,0.5944439821298505
synthetic,16_saltpepper_0.03,salt_pepper,0.03,dft,145.69303131103516,26.496415814763843,0.5928071632060495,0.5928071632060495
synthetic,16_saltpepper_0.03,salt_pepper,0.03,dct,142.81316714816623,26.583121103173326,0.592209007621804,0.592209007621804
synthetic,16_saltpepper_0.045,salt_pepper,0.045,dft,165.9446063571506,25.93117219624306,0.5460773894414127,0.5460773894414127
synthetic,16_saltpepper_0.045,salt_pepper,0.045,dct,163.0939220852322,26.006425840951316,0.5450897450662824,0.5450897450662824
synthetic,17_gauss_15,gaussian,15.0,dft,109.28000725640192,27.74539645692466,0.7575581742529481,0.7575581742529481
synthetic,17_gauss_15,gaussian,15.0,dct,109.83877563476562,27.7232467766278,0.7562127855497615,0.7562127855497615
synthetic,17_gauss_22.5,gaussian,22.5,dft,126.87174903021918,27.09715433857523,0.7049499274383804,0.7049499274383804
synthetic,17_gauss_22.5,gaussian,22.5,dct,127.51649390326605,27.07513997683169,0.7037910773617941,0.7037910773617941
synthetic,17_saltpepper_0.03,salt_pepper,0.03,dft,138.37860616048178,26.720114090755047,0.6741030498213963,0.6741030498213963
synthetic,17_saltpepper_0.03,salt_pepper,0.03,dct,138.9759233262804,26.701407927881707,0.6733915422798994,0.6733915422798994
synthetic,17_saltpepper_0.045,salt_pepper,0.045,dft,164.74673631456164,25.96263541028971,0.6229329759020048,0.6229329759020048
synthetic,17_saltpepper_0.045,salt_pepper,0.045,dct,165.41632419162326,25.945019949711146,0.6221781737377705,0.6221781737377705
synthetic,18_gauss_15,gaussian,15.0,dft,251.98836856418185,24.116998660584894,0.6326021035014409,0.6326021035014409
synthetic,18_gauss_15,gaussian,15.0,dct,246.10202026367188,24.219651820055653,0.6326244956639375,0.6326244956639375
synthetic,18_gauss_22.5,gaussian,22.5,dft,269.38533359103735,23.827064135561855,0.5958561823701151,0.5958561823701151
synthetic,18_gauss_22.5,gaussian,22.5,dct,263.6082585652669,23.921213487504133,0.5961040128750442,0.5961040128750442
synthetic,18_saltpepper_0.03,salt_pepper,0.03,dft,283.92662641737195,23.598742386347517,0.5759187940267022,0.5759187940267022
synthetic,18_saltpepper_0.03,salt_pepper,0.03,dct,278.3073916965061,23.685556197499153,0.5758830213318746,0.5758830213318746
synthetic,18_saltpepper_0.045,salt_pepper,0.045,dft,307.8963640001085,23.246758005909317,0.545959636730499,0.545959636730499
synthetic,18_saltpepper_0.045,salt_pepper,0.045,dct,302.2868177625868,23.32661152154514,0.545839486601506,0.545839486601506
synthetic,19_gauss_15,gaussian,15.0,dft,274.9412960476345,23.738403853072462,0.6353757013327529,0.6353757013327529
synthetic,19_gauss_15,gaussian,15.0,dct,271.2720879448785,23.79675250759594,0.6372701314126495,0.6372701314126495
synthetic,19_gauss_22.5,gaussian,22.5,dft,292.05987548828125,23.47608465143916,0.584605653169933,0.584605653169933
synthetic,19_gauss_22.5,gaussian,22.5,dct,288.50074513753253,23.529334216822235,0.5856896456708004,0.5856896456708004
synthetic,19_saltpepper_0.03,salt_pepper,0.03,dft,297.2659454345703,23.39935201265954,0.5835732040034012,0.5835732040034012
synthetic,19_saltpepper_0.03,salt_pepper,0.03,dct,293.66811116536456,23.45223570956669,0.5845126057165952,0.5845126057165952
synthetic,19_saltpepper_0.045,salt_pepper,0.045,dft,317.13447740342883,23.11836901773293,0.5440425165940048,0.5440425165940048
synthetic,19_saltpepper_0.045,salt_pepper,0.045,dct,313.7077458699544,23.165551187176703,0.5448139969104049,0.5448139969104049
synthetic,20_gauss_15,gaussian,15.0,dft,168.14607832166882,25.873936181683135,0.7378981929393124,0.7378981929393124
synthetic,20_gauss_15,gaussian,15.0,dct,155.92527770996094,26.20163834645968,0.7412431294996251,0.7412431294996251
synthetic,20_gauss_22.5,gaussian,22.5,dft,197.82073296440973,25.168085541923478,0.6930155621401336,0.6930155621401336
synthetic,20_gauss_22.5,gaussian,22.5,dct,185.62915717230902,25.444341680556324,0.6961204959695486,0.6961204959695486
synthetic,20_saltpepper_0.03,salt_pepper,0.03,dft,198.921878390842,25.143978093076935,0.617630314625479,0.617630314625479
synthetic,20_saltpepper_0.03,salt_pepper,0.03,dct,187.26673550075955,25.406197210872968,0.6196124020504882,0.6196124020504882
synthetic,20_saltpepper_0.045,salt_pepper,0.045,dft,233.2640881008572,24.452324782255886,0.5606596670942573,0.5606596670942573
synthetic,20_saltpepper_0.045,salt_pepper,0.045,dct,221.52508460150824,24.676574497797453,0.5626282391135465,0.5626282391135465
synthetic,21_gauss_15,gaussian,15.0,dft,235.58037821451822,24.409412461791568,0.6733229127581662,0.6733229127581662
synthetic,21_gauss_15,gaussian,15.0,dct,226.77860344780817,24.574782843811853,0.6763064653438291,0.6763064653438291
synthetic,21_gauss_22.5,gaussian,22.5,dft,253.6227552625868,24.088921446170886,0.6170848094375955,0.6170848094375955
synthetic,21_gauss_22.5,gaussian,22.5,dct,244.91864352756076,24.240585154207533,0.618956767293601,0.618956767293601
synthetic,21_saltpepper_0.03,salt_pepper,0.03,dft,256.55917104085285,24.038928171786026,0.6193242459362049,0.6193242459362049
synthetic,21_saltpepper_0.03,salt_pepper,0.03,dct,247.88966284857855,24.188219440695296,0.6221045089892723,0.6221045089892723
synthetic,21_saltpepper_0.045,salt_pepper,0.045,dft,276.43145921495227,23.71492894575312,0.5773591945719865,0.5773591945719865
synthetic,21_saltpepper_0.045,salt_pepper,0.045,dct,267.9724536471897,23.849902080476433,0.5793275389308533,0.5793275389308533
synthetic,22_gauss_15,gaussian,15.0,dft,169.76925489637586,25.832213182923365,0.6506304895658075,0.6506304895658075
synthetic,22_gauss_15,gaussian,15.0,dct,152.56307729085287,26.296309207555115,0.6563540291173399,0.6563540291173399
synthetic,22_gauss_22.5,gaussian,22.5,dft,187.3513921101888,25.404234364109946,0.6052115622289175,0.6052115622289175
synthetic,22_gauss_22.5,gaussian,22.5,dct,170.24600134955512,25.820034406485334,0.6099439802500003,0.6099439802500003
synthetic,22_saltpepper_0.03,salt_pepper,0.03,dft,193.92161220974393,25.25454147764531,0.596171177470649,0.596171177470649
synthetic,22_saltpepper_0.03,salt_pepper,0.03,dct,176.81163787841797,25.655695136521885,0.6004558242665757,0.6004558242665757
synthetic,22_saltpepper_0.045,salt_pepper,0.045,dft,212.45476871066623,24.858138772593456,0.5622734076424359,0.5622734076424359
synthetic,22_saltpepper_0.045,salt_pepper,0.045,dct,195.56796264648438,25.217826494011444,0.5659464117324262,0.5659464117324262
synthetic,23_gauss_15,gaussian,15.0,dft,91.82453070746527,28.501216434169176,0.7908361166887551,0.7908361166887551
synthetic,23_gauss_15,gaussian,15.0,dct,85.81480153401692,28.795181584488326,0.7940851860943007,0.7940851860943007
synthetic,23_gauss_22.5,gaussian,22.5,dft,109.41065979003906,27.74020723857141,0.7157261849700679,0.7157261849700679
synthetic,23_gauss_22.5,gaussian,22.5,dct,103.54361470540364,27.979570387462328,0.7181007223722468,0.7181007223722468
synthetic,23_saltpepper_0.03,salt_pepper,0.03,dft,118.69984096950955,27.38630223767664,0.7001776858015304,0.7001776858015304
synthetic,23_saltpepper_0.03,salt_pepper,0.03,dct,112.9685287475586,27.60122888135931,0.7017288788171575,0.7017288788171575
synthetic,23_saltpepper_0.045,salt_pepper,0.045,dft,142.198361714681,26.60185768007021,0.639382569822705,0.639382569822705
synthetic,23_saltpepper_0.045,salt_pepper,0.045,dct,136.71312459309897,26.7727015160549,0.6411500073780352,0.6411500073780352
synthetic,24_gauss_15,gaussian,15.0,dft,333.0495842827691,22.905714649672472,0.6331945037745239,0.6331945037745239
synthetic,24_gauss_15,gaussian,15.0,dct,312.3224173651801,23.184772034433788,0.6372231676116779,0.6372231676116779
synthetic,24_gauss_22.5,gaussian,22.5,dft,352.05651007758246,22.66467981352594,0.5964284626586113,0.5964284626586113
synthetic,24_gauss_22.5,gaussian,22.5,dct,331.322258843316,22.92829747297757,0.600156587803181,0.600156587803181
synthetic,24_saltpepper_0.03,salt_pepper,0.03,dft,356.73327297634546,22.607367424291787,0.5878494547785499,0.5878494547785499
synthetic,24_saltpepper_0.03,salt_pepper,0.03,dct,336.4453625149197,22.861658144027217,0.589975043476076,0.589975043476076
synthetic,24_saltpepper_0.045,salt_pepper,0.045,dft,377.4377958509657,22.362349734978558,0.5558003602526923,0.5558003602526923
synthetic,24_saltpepper_0.045,salt_pepper,0.045,dct,357.21307288275824,22.601530165389878,0.5577397276922742,0.5577397276922742
